#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-04T15:39:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac4ee9a2255	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=H-K
#-out=J-K
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	H-K	(F7.3)	(H-K) colour (energy-weighted)	[ucd=phot.color;em.IR.H;em.IR.K]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;H-K;J-K
 27000;  3.50; 0.3; -1.034; -0.260; -0.126; -0.273; -0.875; -0.147; -0.115; -0.104; -0.219
 27000;  4.00; 0.3; -1.005; -0.259; -0.128; -0.276; -0.871; -0.148; -0.115; -0.102; -0.217
 27000;  4.50; 0.3; -0.986; -0.255; -0.129; -0.276; -0.868; -0.147; -0.114; -0.101; -0.215
 27000;  5.00; 0.3; -0.973; -0.248; -0.130; -0.276; -0.866; -0.146; -0.113; -0.100; -0.214
 28000;  3.50; 0.3; -1.054; -0.265; -0.129; -0.280; -0.896; -0.151; -0.118; -0.107; -0.225
 28000;  4.00; 0.3; -1.023; -0.266; -0.132; -0.284; -0.895; -0.152; -0.118; -0.105; -0.223
 28000;  4.50; 0.3; -1.005; -0.261; -0.132; -0.284; -0.890; -0.151; -0.117; -0.104; -0.221
 28000;  5.00; 0.3; -0.993; -0.255; -0.133; -0.283; -0.887; -0.150; -0.116; -0.104; -0.220
 29000;  3.50; 0.3; -1.073; -0.269; -0.130; -0.283; -0.911; -0.153; -0.121; -0.109; -0.230
 29000;  4.00; 0.3; -1.041; -0.272; -0.136; -0.292; -0.918; -0.156; -0.121; -0.108; -0.229
 29000;  4.50; 0.3; -1.023; -0.267; -0.136; -0.291; -0.912; -0.155; -0.120; -0.107; -0.227
 29000;  5.00; 0.3; -1.012; -0.261; -0.136; -0.290; -0.908; -0.154; -0.119; -0.106; -0.225
 30000;  3.50; 0.3; -1.090; -0.272; -0.129; -0.282; -0.919; -0.153; -0.122; -0.111; -0.233
 30000;  4.00; 0.3; -1.058; -0.278; -0.138; -0.298; -0.936; -0.160; -0.124; -0.111; -0.234
 30000;  4.50; 0.3; -1.039; -0.274; -0.139; -0.299; -0.933; -0.159; -0.123; -0.109; -0.232
 30000;  5.00; 0.3; -1.029; -0.267; -0.139; -0.298; -0.929; -0.158; -0.122; -0.109; -0.230
 31000;  4.00; 0.3; -1.074; -0.282; -0.140; -0.302; -0.951; -0.162; -0.126; -0.113; -0.238
 31000;  4.50; 0.3; -1.055; -0.280; -0.142; -0.305; -0.951; -0.163; -0.125; -0.112; -0.237
 31000;  5.00; 0.3; -1.045; -0.273; -0.142; -0.304; -0.947; -0.162; -0.124; -0.111; -0.235
 32000;  4.00; 0.3; -1.088; -0.286; -0.140; -0.303; -0.961; -0.163; -0.127; -0.114; -0.242
 32000;  4.50; 0.3; -1.070; -0.285; -0.144; -0.310; -0.966; -0.165; -0.127; -0.114; -0.241
 32000;  5.00; 0.3; -1.060; -0.279; -0.145; -0.310; -0.964; -0.165; -0.126; -0.113; -0.239
 33000;  4.00; 0.3; -1.100; -0.289; -0.140; -0.303; -0.966; -0.163; -0.128; -0.116; -0.244
 33000;  4.50; 0.3; -1.084; -0.289; -0.146; -0.313; -0.977; -0.167; -0.129; -0.115; -0.244
 33000;  5.00; 0.3; -1.074; -0.284; -0.147; -0.314; -0.977; -0.167; -0.128; -0.115; -0.243
 34000;  4.00; 0.3; -1.110; -0.292; -0.139; -0.302; -0.968; -0.163; -0.129; -0.117; -0.246
 34000;  4.50; 0.3; -1.096; -0.293; -0.146; -0.314; -0.985; -0.168; -0.130; -0.117; -0.247
 34000;  5.00; 0.3; -1.086; -0.289; -0.149; -0.318; -0.988; -0.169; -0.129; -0.116; -0.246
 35000;  4.50; 0.3; -1.106; -0.297; -0.146; -0.315; -0.990; -0.168; -0.131; -0.118; -0.249
 35000;  5.00; 0.3; -1.097; -0.293; -0.149; -0.320; -0.996; -0.170; -0.131; -0.118; -0.248
 37500;  4.50; 0.3; -1.124; -0.304; -0.145; -0.313; -0.990; -0.168; -0.130; -0.119; -0.249
 37500;  5.00; 0.3; -1.119; -0.302; -0.150; -0.320; -1.004; -0.171; -0.132; -0.119; -0.251
 40000;  4.50; 0.3; -1.136; -0.312; -0.146; -0.314; -0.994; -0.169; -0.131; -0.120; -0.250
 40000;  5.00; 0.3; -1.133; -0.310; -0.149; -0.320; -1.005; -0.170; -0.132; -0.120; -0.252
 42500;  5.00; 0.3; -1.143; -0.317; -0.150; -0.322; -1.011; -0.172; -0.132; -0.122; -0.254
 45000;  5.00; 0.3; -1.150; -0.323; -0.152; -0.325; -1.020; -0.174; -0.134; -0.123; -0.257
 47500;  5.00; 0.3; -1.156; -0.327; -0.153; -0.328; -1.029; -0.175; -0.135; -0.124; -0.260
 50000;  5.00; 0.3; -1.162; -0.331; -0.153; -0.330; -1.036; -0.177; -0.136; -0.125; -0.262
  2000;  3.50; 0.5;  1.737;  2.724;  3.690;  6.486; 11.838;  2.796;  0.868;  0.761;  1.629
  2000;  4.00; 0.5;  2.047;  3.485;  3.366;  6.046; 11.204;  2.680;  0.985;  0.826;  1.810
  2000;  4.50; 0.5;  2.078;  3.573;  3.342;  6.032; 11.160;  2.690;  1.023;  0.826;  1.849
  2000;  5.00; 0.5;  2.059;  3.601;  3.337;  6.047; 11.156;  2.710;  1.055;  0.814;  1.869
  2000;  5.50; 0.5;  1.973;  3.553;  3.380;  6.128; 11.249;  2.749;  1.089;  0.785;  1.874
  2200;  3.50; 0.5;  2.086;  2.888;  2.780;  5.314;  9.795;  2.534;  0.612;  0.657;  1.269
  2200;  4.00; 0.5;  2.226;  3.228;  2.669;  5.125;  9.535;  2.456;  0.691;  0.691;  1.381
  2200;  4.50; 0.5;  2.290;  3.354;  2.625;  5.069;  9.429;  2.444;  0.733;  0.697;  1.430
  2200;  5.00; 0.5;  2.261;  3.376;  2.616;  5.081;  9.427;  2.465;  0.761;  0.687;  1.448
  2200;  5.50; 0.5;  2.167;  3.345;  2.630;  5.133;  9.490;  2.503;  0.788;  0.666;  1.454
  2500; -1.02; 0.5; -0.245;  1.427;  2.127;  4.572;  9.970;  2.444;  1.081;  0.556;  1.637
  2500; -0.70; 0.5; -0.245;  1.409;  1.911;  4.288;  9.479;  2.377;  1.066;  0.503;  1.569
  2500; -0.29; 0.5; -0.245;  1.392;  1.661;  3.939;  8.859;  2.279;  1.044;  0.435;  1.479
  2500;  0.28; 0.5; -0.245;  1.390;  1.591;  3.830;  8.357;  2.239;  0.972;  0.346;  1.318
  2500;  3.50; 0.5;  2.282;  2.889;  1.954;  3.836;  7.541;  1.882;  0.557;  0.389;  0.947
  2500;  4.00; 0.5;  2.501;  3.003;  1.890;  3.692;  7.169;  1.802;  0.571;  0.478;  1.048
  2500;  4.50; 0.5;  2.361;  2.747;  1.901;  3.852;  7.344;  1.951;  0.589;  0.460;  1.049
  2500;  5.00; 0.5;  2.102;  2.618;  2.059;  4.207;  7.923;  2.148;  0.610;  0.483;  1.092
  2500;  5.50; 0.5;  2.033;  2.560;  2.066;  4.264;  7.983;  2.199;  0.634;  0.468;  1.101
  2800; -1.02; 0.5;  0.057;  1.462;  2.003;  4.406;  9.780;  2.403;  0.965;  0.546;  1.512
  2800; -0.70; 0.5;  0.057;  1.452;  1.873;  4.216;  9.394;  2.344;  0.985;  0.506;  1.492
  2800; -0.29; 0.5;  0.057;  1.442;  1.713;  3.969;  8.893;  2.256;  1.011;  0.454;  1.465
  2800;  0.28; 0.5;  0.057;  1.436;  1.584;  3.757;  8.290;  2.173;  1.015;  0.376;  1.390
  2800;  0.60; 0.5;  0.057;  1.434;  1.532;  3.670;  7.975;  2.138;  1.010;  0.329;  1.339
  2800;  3.50; 0.5;  1.632;  2.012;  1.859;  3.768;  7.471;  1.909;  0.578;  0.235;  0.813
  2800;  4.00; 0.5;  1.771;  2.120;  1.786;  3.619;  7.004;  1.832;  0.529;  0.360;  0.889
  2800;  4.50; 0.5;  1.809;  2.126;  1.754;  3.579;  6.832;  1.826;  0.541;  0.397;  0.938
  2800;  5.00; 0.5;  1.678;  1.879;  1.763;  3.716;  7.002;  1.953;  0.547;  0.377;  0.924
  3000; -0.70; 0.5;  0.363;  1.418;  1.754;  4.106;  9.395;  2.351;  0.878;  0.507;  1.385
  3000; -0.29; 0.5;  0.363;  1.413;  1.634;  3.917;  8.968;  2.283;  0.921;  0.462;  1.384
  3000;  0.28; 0.5;  0.363;  1.408;  1.498;  3.695;  8.402;  2.197;  0.967;  0.399;  1.366
  3000;  0.60; 0.5;  0.363;  1.405;  1.436;  3.594;  8.103;  2.159;  0.983;  0.362;  1.346
  3000;  3.50; 0.5;  1.291;  1.639;  1.591;  3.347;  7.015;  1.756;  0.673;  0.117;  0.791
  3000;  4.00; 0.5;  1.509;  1.774;  1.519;  3.189;  6.444;  1.669;  0.634;  0.208;  0.843
  3000;  4.50; 0.5;  1.537;  1.788;  1.470;  3.111;  6.139;  1.641;  0.596;  0.266;  0.862
  3000;  5.00; 0.5;  1.555;  1.797;  1.438;  3.059;  5.892;  1.621;  0.554;  0.329;  0.883
  3000;  5.50; 0.5;  1.475;  1.666;  1.436;  3.132;  5.950;  1.696;  0.553;  0.324;  0.878
  3200; -0.70; 0.5;  0.942;  1.414;  1.712;  4.114;  8.673;  2.402;  0.764;  0.477;  1.241
  3200; -0.51; 0.5;  0.942;  1.410;  1.613;  3.984;  8.476;  2.371;  0.791;  0.459;  1.251
  3200; -0.29; 0.5;  0.942;  1.407;  1.502;  3.834;  8.248;  2.332;  0.823;  0.439;  1.261
  3200;  0.28; 0.5;  0.942;  1.399;  1.243;  3.467;  7.709;  2.224;  0.895;  0.388;  1.283
  3200;  0.60; 0.5;  0.942;  1.396;  1.124;  3.286;  7.479;  2.162;  0.924;  0.363;  1.287
  3200;  3.50; 0.5;  1.180;  1.307;  1.466;  3.129;  6.828;  1.663;  0.710;  0.059;  0.769
  3200;  4.00; 0.5;  1.164;  1.391;  1.383;  2.962;  6.253;  1.579;  0.749;  0.107;  0.856
  3200;  4.50; 0.5;  1.311;  1.478;  1.311;  2.823;  5.709;  1.512;  0.664;  0.196;  0.861
  3200;  5.00; 0.5;  1.317;  1.507;  1.261;  2.726;  5.343;  1.465;  0.597;  0.252;  0.849
  3200;  5.50; 0.5;  1.274;  1.436;  1.243;  2.734;  5.246;  1.492;  0.567;  0.265;  0.832
  3350; -0.51; 0.5;  1.299;  1.529;  1.627;  3.884;  7.446;  2.257;  0.732;  0.416;  1.148
  3350; -0.29; 0.5;  1.299;  1.525;  1.545;  3.763;  7.280;  2.218;  0.764;  0.400;  1.164
  3350;  0.28; 0.5;  1.299;  1.517;  1.368;  3.491;  6.922;  2.123;  0.843;  0.357;  1.200
  3350;  0.60; 0.5;  1.299;  1.511;  1.336;  3.457;  6.950;  2.121;  0.873;  0.334;  1.207
  3350;  0.87; 0.5;  1.299;  1.506;  1.309;  3.428;  6.973;  2.119;  0.899;  0.314;  1.213
  3350;  3.50; 0.5;  1.197;  1.119;  1.370;  2.939;  6.391;  1.569;  0.787;  0.041;  0.829
  3350;  4.00; 0.5;  1.058;  1.145;  1.333;  2.870;  6.138;  1.537;  0.750;  0.084;  0.835
  3350;  4.50; 0.5;  1.187;  1.309;  1.235;  2.668;  5.458;  1.433;  0.717;  0.152;  0.869
  3350;  5.00; 0.5;  1.159;  1.340;  1.182;  2.547;  5.053;  1.365;  0.641;  0.209;  0.849
  3350;  5.50; 0.5;  1.124;  1.305;  1.146;  2.496;  4.832;  1.351;  0.588;  0.230;  0.818
  3500;  0.00; 0.5;  1.939;  1.736;  1.066;  2.692;  5.589;  1.626;  0.742;  0.333;  1.074
  3500;  0.50; 0.5;  1.707;  1.608;  1.034;  2.685;  5.644;  1.651;  0.768;  0.317;  1.085
  3500;  1.00; 0.5;  1.471;  1.476;  1.011;  2.687;  5.707;  1.676;  0.789;  0.301;  1.090
  3500;  1.50; 0.5;  1.242;  1.342;  0.996;  2.696;  5.777;  1.701;  0.805;  0.287;  1.092
  3500;  2.00; 0.5;  1.029;  1.209;  0.989;  2.712;  5.850;  1.723;  0.818;  0.273;  1.091
  3500;  2.50; 0.5;  0.846;  1.085;  0.988;  2.730;  5.920;  1.742;  0.828;  0.262;  1.090
  3500;  3.00; 0.5;  1.065;  1.188;  0.893;  2.260;  5.070;  1.367;  0.871;  0.109;  0.980
  3500;  3.50; 0.5;  0.985;  1.142;  0.906;  2.271;  5.064;  1.365;  0.861;  0.110;  0.971
  3500;  4.00; 0.5;  0.974;  1.203;  0.923;  2.236;  4.827;  1.313;  0.801;  0.130;  0.932
  3500;  4.50; 0.5;  0.986;  1.286;  0.943;  2.190;  4.509;  1.247;  0.700;  0.165;  0.865
  3500;  5.00; 0.5;  1.021;  1.346;  0.971;  2.180;  4.335;  1.209;  0.642;  0.188;  0.830
  3750;  0.00; 0.5;  2.511;  1.808;  1.015;  2.036;  4.242;  1.020;  0.674;  0.280;  0.954
  3750;  0.50; 0.5;  2.281;  1.726;  0.988;  2.017;  4.252;  1.029;  0.710;  0.266;  0.975
  3750;  1.00; 0.5;  2.057;  1.643;  0.963;  2.004;  4.270;  1.041;  0.737;  0.252;  0.989
  3750;  1.50; 0.5;  1.842;  1.558;  0.939;  1.995;  4.294;  1.055;  0.757;  0.240;  0.996
  3750;  2.00; 0.5;  1.641;  1.473;  0.919;  1.990;  4.324;  1.071;  0.772;  0.228;  1.000
  3750;  2.50; 0.5;  1.460;  1.389;  0.902;  1.990;  4.359;  1.088;  0.782;  0.218;  1.000
  3750;  3.00; 0.5;  1.555;  1.406;  0.816;  1.826;  4.124;  1.010;  0.813;  0.104;  0.917
  3750;  3.50; 0.5;  1.423;  1.344;  0.811;  1.836;  4.160;  1.025;  0.814;  0.100;  0.915
  3750;  4.00; 0.5;  1.326;  1.306;  0.816;  1.848;  4.163;  1.032;  0.797;  0.105;  0.902
  3750;  4.50; 0.5;  1.251;  1.314;  0.837;  1.855;  4.060;  1.018;  0.744;  0.124;  0.868
  3750;  5.00; 0.5;  1.197;  1.335;  0.863;  1.859;  3.907;  0.996;  0.665;  0.153;  0.819
  4000;  0.00; 0.5;  2.660;  1.712;  0.869;  1.607;  3.481;  0.738;  0.582;  0.215;  0.798
  4000;  0.50; 0.5;  2.435;  1.648;  0.858;  1.598;  3.485;  0.740;  0.622;  0.204;  0.826
  4000;  1.00; 0.5;  2.220;  1.587;  0.849;  1.593;  3.492;  0.744;  0.656;  0.193;  0.849
  4000;  1.50; 0.5;  2.018;  1.528;  0.841;  1.591;  3.502;  0.750;  0.683;  0.183;  0.866
  4000;  2.00; 0.5;  1.836;  1.470;  0.833;  1.590;  3.516;  0.757;  0.703;  0.174;  0.877
  4000;  2.50; 0.5;  1.674;  1.415;  0.824;  1.590;  3.533;  0.766;  0.719;  0.166;  0.884
  4000;  3.00; 0.5;  1.707;  1.429;  0.804;  1.600;  3.374;  0.796;  0.706;  0.110;  0.816
  4000;  3.50; 0.5;  1.588;  1.385;  0.798;  1.604;  3.399;  0.806;  0.713;  0.106;  0.819
  4000;  4.00; 0.5;  1.488;  1.349;  0.796;  1.613;  3.425;  0.817;  0.713;  0.105;  0.818
  4000;  4.50; 0.5;  1.401;  1.327;  0.801;  1.628;  3.424;  0.826;  0.693;  0.111;  0.804
  4000;  5.00; 0.5;  1.309;  1.323;  0.817;  1.646;  3.366;  0.829;  0.644;  0.129;  0.773
  4250;  0.00; 0.5;  2.449;  1.600;  0.776;  1.377;  2.978;  0.601;  0.497;  0.184;  0.681
  4250;  0.50; 0.5;  2.271;  1.546;  0.767;  1.371;  2.983;  0.603;  0.533;  0.176;  0.709
  4250;  1.00; 0.5;  2.093;  1.493;  0.763;  1.370;  2.989;  0.606;  0.565;  0.168;  0.734
  4250;  1.50; 0.5;  1.927;  1.443;  0.762;  1.373;  2.997;  0.611;  0.593;  0.161;  0.754
  4250;  2.00; 0.5;  1.778;  1.397;  0.764;  1.379;  3.008;  0.615;  0.617;  0.154;  0.771
  4250;  2.50; 0.5;  1.651;  1.354;  0.768;  1.388;  3.022;  0.620;  0.637;  0.148;  0.785
  4250;  3.00; 0.5;  1.608;  1.368;  0.717;  1.352;  2.959;  0.635;  0.603;  0.108;  0.711
  4250;  3.50; 0.5;  1.521;  1.338;  0.721;  1.362;  2.978;  0.641;  0.613;  0.104;  0.718
  4250;  4.00; 0.5;  1.450;  1.314;  0.727;  1.374;  3.003;  0.647;  0.622;  0.102;  0.724
  4250;  4.50; 0.5;  1.387;  1.297;  0.734;  1.389;  3.025;  0.655;  0.623;  0.102;  0.725
  4250;  5.00; 0.5;  1.317;  1.287;  0.743;  1.409;  3.024;  0.665;  0.603;  0.109;  0.712
  4500;  0.00; 0.5;  2.093;  1.522;  0.649;  1.161;  2.638;  0.512;  0.409;  0.133;  0.542
  4500;  0.50; 0.5;  1.978;  1.479;  0.640;  1.154;  2.646;  0.514;  0.436;  0.128;  0.564
  4500;  1.00; 0.5;  1.853;  1.437;  0.633;  1.150;  2.653;  0.517;  0.462;  0.123;  0.585
  4500;  1.50; 0.5;  1.729;  1.396;  0.630;  1.151;  2.660;  0.521;  0.486;  0.118;  0.604
  4500;  2.00; 0.5;  1.612;  1.355;  0.631;  1.157;  2.669;  0.526;  0.508;  0.114;  0.621
  4500;  2.50; 0.5;  1.513;  1.318;  0.634;  1.165;  2.681;  0.531;  0.527;  0.109;  0.636
  4500;  3.00; 0.5;  1.434;  1.285;  0.642;  1.177;  2.695;  0.535;  0.543;  0.106;  0.648
  4500;  3.50; 0.5;  1.377;  1.259;  0.652;  1.191;  2.712;  0.539;  0.556;  0.103;  0.659
  4500;  4.00; 0.5;  1.338;  1.240;  0.664;  1.207;  2.733;  0.544;  0.568;  0.100;  0.668
  4500;  4.50; 0.5;  1.312;  1.228;  0.677;  1.225;  2.757;  0.548;  0.576;  0.099;  0.676
  4500;  5.00; 0.5;  1.287;  1.224;  0.692;  1.246;  2.779;  0.555;  0.579;  0.099;  0.678
  4750;  0.00; 0.5;  1.668;  1.357;  0.574;  1.002;  2.328;  0.427;  0.381;  0.113;  0.495
  4750;  0.50; 0.5;  1.587;  1.323;  0.565;  0.993;  2.340;  0.427;  0.403;  0.110;  0.513
  4750;  1.00; 0.5;  1.502;  1.290;  0.558;  0.987;  2.348;  0.429;  0.421;  0.107;  0.529
  4750;  1.50; 0.5;  1.416;  1.258;  0.552;  0.984;  2.355;  0.432;  0.439;  0.105;  0.543
  4750;  2.00; 0.5;  1.333;  1.225;  0.549;  0.985;  2.363;  0.436;  0.455;  0.102;  0.557
  4750;  2.50; 0.5;  1.259;  1.194;  0.549;  0.989;  2.372;  0.440;  0.471;  0.100;  0.571
  4750;  3.00; 0.5;  1.199;  1.164;  0.552;  0.996;  2.384;  0.444;  0.486;  0.097;  0.583
  4750;  3.50; 0.5;  1.157;  1.138;  0.559;  1.007;  2.398;  0.448;  0.500;  0.094;  0.594
  4750;  4.00; 0.5;  1.134;  1.118;  0.570;  1.021;  2.415;  0.451;  0.511;  0.093;  0.604
  4750;  4.50; 0.5;  1.126;  1.105;  0.585;  1.039;  2.436;  0.455;  0.521;  0.091;  0.613
  4750;  5.00; 0.5;  1.128;  1.099;  0.601;  1.060;  2.460;  0.459;  0.530;  0.090;  0.620
  5000;  0.00; 0.5;  1.286;  1.192;  0.529;  0.929;  2.055;  0.400;  0.352;  0.097;  0.450
  5000;  0.50; 0.5;  1.214;  1.163;  0.522;  0.920;  2.069;  0.399;  0.371;  0.094;  0.465
  5000;  1.00; 0.5;  1.143;  1.136;  0.515;  0.914;  2.079;  0.398;  0.386;  0.092;  0.478
  5000;  1.50; 0.5;  1.077;  1.110;  0.510;  0.909;  2.087;  0.399;  0.399;  0.091;  0.489
  5000;  2.00; 0.5;  1.015;  1.085;  0.506;  0.907;  2.095;  0.401;  0.411;  0.089;  0.500
  5000;  2.50; 0.5;  0.962;  1.062;  0.503;  0.906;  2.103;  0.403;  0.423;  0.087;  0.510
  5000;  3.00; 0.5;  0.918;  1.039;  0.502;  0.908;  2.112;  0.406;  0.435;  0.086;  0.520
  5000;  3.50; 0.5;  0.888;  1.017;  0.505;  0.914;  2.122;  0.409;  0.446;  0.084;  0.530
  5000;  4.00; 0.5;  0.872;  0.999;  0.511;  0.923;  2.135;  0.411;  0.457;  0.082;  0.539
  5000;  4.50; 0.5;  0.871;  0.985;  0.522;  0.936;  2.152;  0.414;  0.467;  0.081;  0.548
  5000;  5.00; 0.5;  0.882;  0.976;  0.536;  0.953;  2.172;  0.417;  0.476;  0.079;  0.555
  5250;  0.00; 0.5;  1.006;  1.030;  0.487;  0.871;  1.865;  0.384;  0.334;  0.090;  0.424
  5250;  0.50; 0.5;  0.934;  1.011;  0.484;  0.869;  1.885;  0.384;  0.351;  0.087;  0.438
  5250;  1.00; 0.5;  0.872;  0.989;  0.480;  0.864;  1.897;  0.383;  0.365;  0.084;  0.449
  5250;  1.50; 0.5;  0.811;  0.969;  0.477;  0.861;  1.908;  0.384;  0.376;  0.083;  0.459
  5250;  2.00; 0.5;  0.757;  0.950;  0.474;  0.858;  1.917;  0.384;  0.387;  0.081;  0.468
  5250;  2.50; 0.5;  0.712;  0.933;  0.472;  0.857;  1.925;  0.386;  0.396;  0.080;  0.476
  5250;  3.00; 0.5;  0.676;  0.918;  0.470;  0.856;  1.933;  0.387;  0.406;  0.078;  0.483
  5250;  3.50; 0.5;  0.653;  0.903;  0.470;  0.858;  1.941;  0.388;  0.415;  0.076;  0.491
  5250;  4.00; 0.5;  0.643;  0.890;  0.472;  0.862;  1.951;  0.389;  0.424;  0.074;  0.498
  5250;  4.50; 0.5;  0.646;  0.880;  0.478;  0.869;  1.963;  0.391;  0.432;  0.073;  0.505
  5250;  5.00; 0.5;  0.661;  0.872;  0.488;  0.880;  1.978;  0.393;  0.441;  0.072;  0.512
  5500;  0.00; 0.5;  0.828;  0.869;  0.425;  0.777;  1.634;  0.352;  0.293;  0.081;  0.374
  5500;  0.50; 0.5;  0.742;  0.870;  0.435;  0.794;  1.664;  0.360;  0.304;  0.083;  0.386
  5500;  1.00; 0.5;  0.678;  0.861;  0.437;  0.798;  1.682;  0.362;  0.316;  0.080;  0.396
  5500;  1.50; 0.5;  0.625;  0.846;  0.435;  0.798;  1.695;  0.362;  0.327;  0.078;  0.405
  5500;  2.00; 0.5;  0.575;  0.833;  0.434;  0.797;  1.705;  0.363;  0.337;  0.075;  0.413
  5500;  2.50; 0.5;  0.531;  0.820;  0.433;  0.798;  1.715;  0.365;  0.346;  0.073;  0.419
  5500;  3.00; 0.5;  0.497;  0.810;  0.432;  0.798;  1.723;  0.366;  0.354;  0.071;  0.425
  5500;  3.50; 0.5;  0.474;  0.801;  0.432;  0.798;  1.732;  0.366;  0.362;  0.069;  0.431
  5500;  4.00; 0.5;  0.463;  0.794;  0.433;  0.800;  1.740;  0.367;  0.370;  0.067;  0.437
  5500;  4.50; 0.5;  0.467;  0.789;  0.436;  0.803;  1.749;  0.367;  0.377;  0.065;  0.442
  5500;  5.00; 0.5;  0.483;  0.785;  0.442;  0.810;  1.759;  0.368;  0.384;  0.063;  0.447
  5750;  0.00; 0.5;  0.666;  0.728;  0.358;  0.661;  1.403;  0.303;  0.249;  0.070;  0.319
  5750;  0.50; 0.5;  0.611;  0.728;  0.365;  0.674;  1.432;  0.310;  0.262;  0.067;  0.329
  5750;  1.00; 0.5;  0.529;  0.736;  0.378;  0.699;  1.463;  0.321;  0.269;  0.070;  0.339
  5750;  1.50; 0.5;  0.472;  0.734;  0.382;  0.707;  1.481;  0.325;  0.279;  0.068;  0.347
  5750;  2.00; 0.5;  0.427;  0.726;  0.383;  0.710;  1.494;  0.327;  0.288;  0.066;  0.354
  5750;  2.50; 0.5;  0.383;  0.718;  0.383;  0.713;  1.506;  0.329;  0.297;  0.063;  0.360
  5750;  3.00; 0.5;  0.348;  0.712;  0.384;  0.715;  1.515;  0.331;  0.305;  0.060;  0.365
  5750;  3.50; 0.5;  0.322;  0.708;  0.385;  0.716;  1.524;  0.332;  0.313;  0.057;  0.370
  5750;  4.00; 0.5;  0.307;  0.705;  0.386;  0.718;  1.532;  0.332;  0.320;  0.054;  0.374
  5750;  4.50; 0.5;  0.305;  0.703;  0.388;  0.721;  1.540;  0.332;  0.327;  0.052;  0.378
  5750;  5.00; 0.5;  0.316;  0.704;  0.392;  0.725;  1.548;  0.333;  0.333;  0.049;  0.382
  6000;  0.00; 0.5;  0.563;  0.599;  0.295;  0.548;  1.239;  0.253;  0.219;  0.066;  0.286
  6000;  0.50; 0.5;  0.536;  0.613;  0.305;  0.565;  1.273;  0.260;  0.233;  0.064;  0.297
  6000;  1.00; 0.5;  0.479;  0.617;  0.314;  0.583;  1.300;  0.269;  0.241;  0.064;  0.305
  6000;  1.50; 0.5;  0.401;  0.631;  0.329;  0.611;  1.331;  0.282;  0.246;  0.068;  0.314
  6000;  2.00; 0.5;  0.347;  0.636;  0.335;  0.624;  1.351;  0.288;  0.254;  0.066;  0.321
  6000;  2.50; 0.5;  0.307;  0.634;  0.338;  0.629;  1.365;  0.291;  0.263;  0.064;  0.326
  6000;  3.00; 0.5;  0.271;  0.633;  0.340;  0.634;  1.377;  0.294;  0.271;  0.061;  0.332
  6000;  3.50; 0.5;  0.241;  0.632;  0.341;  0.637;  1.387;  0.296;  0.279;  0.057;  0.336
  6000;  4.00; 0.5;  0.220;  0.632;  0.343;  0.640;  1.395;  0.297;  0.286;  0.053;  0.340
  6000;  4.50; 0.5;  0.211;  0.634;  0.345;  0.643;  1.403;  0.298;  0.293;  0.050;  0.343
  6000;  5.00; 0.5;  0.213;  0.637;  0.349;  0.647;  1.410;  0.298;  0.299;  0.047;  0.346
